postalcode,street,lat,lng,price,area,volume,floors,year_build,has_garden,type,photos,rooms,distance,formatted,name,housenumber,street.1,postcode,district,suburb,city,state,country
1087 BV Amsterdam,Oeverzeggestraat 20,52.3539,5.0005,549000,132,480,2,2005,1,woonhuis,33,5,14.54762257,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands
1086 ZM Amsterdam,James Bradleystraat 10,52.3628,4.9819,599000,179,708,3,2009,1,woonhuis,43,4,0.535708752,"IJburglaan 257, 1086 ZJ Amsterdam, Netherlands",,257,IJburglaan,1086ZJ,Oost,Steigereiland-Noord,Amsterdam,North Holland,Netherlands
1056 PV Amsterdam,Orteliusstraat 362 I,52.3732,4.856,300000,54,175,1,1931,0,appartement,26,3,25.67499874,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",,228-2,Admiralengracht,1056TK,West,De Krommert,Amsterdam,North Holland,Netherlands
1011 AN Amsterdam,Prins Hendrikkade 126 hs,52.371,4.9041,650000,112,478,1,1906,1,appartement,25,3,0.935823345,"Keizersbrug, 1011 KV Amsterdam, Netherlands",Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands
1094 GR Amsterdam,Madurastraat 70 1,52.3626,4.936,235000,50,182,4,1906,0,appartement,15,2,22.68397045,"Sumatrastraat 69, 1094 LR Amsterdam, Netherlands",,69,Sumatrastraat,1094LR,Oost,Indische Buurt West,Amsterdam,North Holland,Netherlands
1012 AE Amsterdam,Prins Hendrikkade 78 H,52.3735,4.8951,300000,52,165,2,1979,0,appartement,24,2,21.62983867,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",,157,Warmoesstraat,1012JC,Centrum,Oudezijde,Amsterdam,North Holland,Netherlands
1078 NT Amsterdam,Rooseveltlaan 168 III,52.3464,4.8977,850000,163,560,3,1930,0,appartement,31,6,11.34464554,"Churchill-laan 75D, 1078 DJ Amsterdam, Netherlands",,75D,Churchill-laan,1078DJ,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1017 WJ Amsterdam,Utrechtsedwarsstraat 120 -B,52.363,4.8924,575000,85,229,1,1923,0,appartement,12,3,0.613385294,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",,245L,Kerkstraat,1017GW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1055 RZ Amsterdam,Nieuwpoortstraat 86 A7,52.3802,4.8524,425000,89,314,1,2017,0,appartement,19,2,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1069 RL Amsterdam,Evertsweertplantsoen 70,52.3556,4.7907,235000,72,180,8,2008,0,appartement,11,3,25.49378508,"Langswater 384, 1069 EC Amsterdam, Netherlands",,384,Langswater,1069EC,Nieuw-West,De Punt,Amsterdam,North Holland,Netherlands
1060 PJ Amsterdam,Ladogameerhof 95 3,52.3491,4.7835,210000,78,218,1,1998,0,appartement,11,3,2.700931735,"De Alpen, 1060 PH Amsterdam, Netherlands",De Alpen,,De Alpen,1060PH,,De Aker,Amsterdam,North Holland,Netherlands
1024 LW Amsterdam,Waterlandplein 20 F,52.3939,4.9547,450000,112,366,2,2011,1,appartement,21,3,5.346782838,"Zandvoortstraat 70, 1024 WE Amsterdam, Netherlands",,70,Zandvoortstraat,1024WE,Noord,Waterlandpleinbuurt,Amsterdam,North Holland,Netherlands
1082 ME Amsterdam,Gustav Mahlerlaan 286,52.3311,4.8742,2925000,341,1646,2,2008,1,appartement,53,7,14.77331069,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",,197,Doddendaal,1082XT,Zuid,Buitenveldert,Amsterdam,North Holland,Netherlands
1095 MS Amsterdam,Zeeburger Zilt 2 (Bouwnr. 122),52.3666,4.952,257897,72,180,1,2011,0,appartement,3,2,6.439024134,"Zeeburgerdijk 585, 1095 AE Amsterdam, Netherlands",,585,Zeeburgerdijk,1095AE,Oost,Indische Buurt Oost,Amsterdam,North Holland,Netherlands
1052 KC Amsterdam,Van Oldenbarneveldtstraat 52 D,52.377,4.874,450000,79,225,1,2006,0,appartement,17,3,2.189558787,"Frederik Hendrikstraat 48-1, 1052 HW Amsterdam, Netherlands",,48-1,Frederik Hendrikstraat,1052HW,West,West,Amsterdam,North Holland,Netherlands
1072 CB Amsterdam,Saenredamstraat 29 E,52.3535,4.8902,499000,82,264,2,1906,0,appartement,26,3,4.56624317,"Eerste Jan van der Heijdenstraat 109-HV, 1072 TN Amsterdam, Netherlands",,109-HV,Eerste Jan van der Heijdenstraat,1072TN,,Zuid,Amsterdam,North Holland,Netherlands
1082 HX Amsterdam,Van Nijenrodeweg 621,52.3311,4.8742,159000,33,88,1,1965,0,appartement,18,2,14.77331069,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",,197,Doddendaal,1082XT,Zuid,Buitenveldert,Amsterdam,North Holland,Netherlands
1066 PW Amsterdam,Kempenlaan,52.346,4.8163,22500,0,0,1,0,0,parkeergelegenheid,4,1,2.708019666,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands
1077 TK Amsterdam,Minervaplein 31 I,52.346,4.8738,690000,112,319,1,1957,0,appartement,23,4,8.308924964,"Rubensstraat 70, 1077 NA Amsterdam, Netherlands",,70,Rubensstraat,1077NA,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1075 CM Amsterdam,Koninginneweg 151 C,52.3518,4.8586,1150000,185,654,2,1906,0,appartement,33,5,12.51019918,"Koninginneweg 237-H, 1075 CT Amsterdam, Netherlands",,237-H,Koninginneweg,1075CT,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1011 PG Amsterdam,Waterlooplein 201 -203,52.371,4.9041,800000,135,400,3,1906,0,appartement,21,6,0.935823345,"Keizersbrug, 1011 KV Amsterdam, Netherlands",Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands
1087 KA Amsterdam,Lisdoddelaan 106,52.3539,5.0005,1285000,254,886,3,2011,1,woonhuis,20,7,14.54762257,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands
1053 CM Amsterdam,Hasebroekstraat 33 huis,52.3668,4.8681,379000,76,218,1,1910,1,appartement,22,4,0,"De Hallen, Hannie Dankbaarpassage 20, 1053 RS Amsterdam, Netherlands",De Hallen,20,Hannie Dankbaarpassage,1053RS,,West,Amsterdam,North Holland,Netherlands
1069 TS Amsterdam,Langswater 141,52.3556,4.7907,139000,62,200,1,1960,0,appartement,27,3,25.49378508,"Langswater 384, 1069 EC Amsterdam, Netherlands",,384,Langswater,1069EC,Nieuw-West,De Punt,Amsterdam,North Holland,Netherlands
1035 XS Amsterdam,Adriaan Loosjesstraat 6,52.4196,4.8944,275000,108,370,3,1958,1,woonhuis,32,5,5.227310669,"Jacob Honigstraat 5, 1035 XV Amsterdam, Netherlands",,5,Jacob Honigstraat,1035XV,Noord,Oostzanerwerf,Amsterdam,North Holland,Netherlands
1082 MS Amsterdam,Gustav Mahlerplein 283,52.3311,4.8742,3800000,381,1088,1,2010,0,appartement,33,5,14.77331069,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",,197,Doddendaal,1082XT,Zuid,Buitenveldert,Amsterdam,North Holland,Netherlands
1091 CE Amsterdam,Ruyschstraat 70 bvn,52.3556,4.9135,575000,123,388,2,1906,0,appartement,22,4,5.562369844,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",,11E,Derde Oosterparkstraat,1091JS,Oost,Oost,Amsterdam,North Holland,Netherlands
1018 XJ Amsterdam,Nieuwe Prinsengracht 26,52.3676,4.9184,435000,0,0,1,0,0,onbekend,1,1,4.080374033,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",,4,Entrepotdoksluis,1018AW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1102 JA Amsterdam,Huntum 10 B,52.3166,4.9517,23000,0,0,1,0,0,parkeergelegenheid,1,1,49.79663638,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",,3,Raoul Wallenberghofje,1102AH,Zuidoost,Bijlmer Centrum,Amsterdam,North Holland,Netherlands
1035 CL Amsterdam,Spinnekop 41,52.4196,4.8944,200000,94,299,1,1961,0,appartement,32,4,5.227310669,"Jacob Honigstraat 5, 1035 XV Amsterdam, Netherlands",,5,Jacob Honigstraat,1035XV,Noord,Oostzanerwerf,Amsterdam,North Holland,Netherlands
1056 PV Amsterdam,Orteliusstraat 362 II-III,52.3732,4.856,550000,102,331,2,1931,0,appartement,35,3,25.67499874,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",,228-2,Admiralengracht,1056TK,West,De Krommert,Amsterdam,North Holland,Netherlands
1013 HE Amsterdam,Brouwersgracht 232 G,52.3877,4.8839,425000,67,199,1,1991,0,appartement,21,2,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
1093 CX Amsterdam,Wagenaarstraat 322,52.3618,4.928,265000,58,148,1,1981,0,appartement,19,2,0,"Dappermarkt, Tweede van Swindenstraat, 1093 GS Amsterdam, Netherlands",Dappermarkt,,Tweede van Swindenstraat,1093GS,,Oost,Amsterdam,North Holland,Netherlands
1087 BS Amsterdam,IJburglaan 589,52.3539,5.0005,495000,173,540,5,2005,0,appartement,32,4,14.54762257,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands
1094 EC Amsterdam,Bankastraat 49 II,52.3626,4.936,269000,50,163,1,1906,0,appartement,30,2,22.68397045,"Sumatrastraat 69, 1094 LR Amsterdam, Netherlands",,69,Sumatrastraat,1094LR,Oost,Indische Buurt West,Amsterdam,North Holland,Netherlands
1104 DK Amsterdam,Kokospalmhof 12,52.3164,4.9776,233000,0,0,1,0,0,onbekend,1,1,0,"De Kameleon, Kruitberghof 58, 1104 SE Amsterdam, Netherlands",De Kameleon,58,Kruitberghof,1104SE,,Zuidoost,Amsterdam,North Holland,Netherlands
1060 RG Amsterdam,Ladogameerhof 278,52.3491,4.7835,249000,94,270,2,1998,0,appartement,24,3,2.700931735,"De Alpen, 1060 PH Amsterdam, Netherlands",De Alpen,,De Alpen,1060PH,,De Aker,Amsterdam,North Holland,Netherlands
1011 TJ Amsterdam,Peperstraat 7 I/II,52.371,4.9041,600000,95,336,2,1930,0,appartement,36,4,0.935823345,"Keizersbrug, 1011 KV Amsterdam, Netherlands",Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands
1056 XG Amsterdam,Jan Haringstraat 17 A-1,52.3732,4.856,289000,52,182,1,1939,0,appartement,21,4,25.67499874,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",,228-2,Admiralengracht,1056TK,West,De Krommert,Amsterdam,North Holland,Netherlands
1053 KV Amsterdam,Bilderdijkstraat 70 3,52.3668,4.8681,639000,106,318,2,1906,1,appartement,43,4,0,"De Hallen, Hannie Dankbaarpassage 20, 1053 RS Amsterdam, Netherlands",De Hallen,20,Hannie Dankbaarpassage,1053RS,,West,Amsterdam,North Holland,Netherlands
1091 MR Amsterdam,Ruyschstraat 313 B,52.3556,4.9135,290000,60,173,1,1906,0,appartement,34,3,5.562369844,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",,11E,Derde Oosterparkstraat,1091JS,Oost,Oost,Amsterdam,North Holland,Netherlands
1032 AZ Amsterdam,Aurikelstraat 152,52.3964,4.9126,275000,92,290,2,1930,0,appartement,29,5,13.57212488,"Heggerankweg 89-1, 1032 JC Amsterdam, Netherlands",,89-1,Heggerankweg,1032JC,Noord,Volewijck,Amsterdam,North Holland,Netherlands
1034 KV Amsterdam,Voordewind 50,52.4075,4.917,375000,106,406,2,1977,1,woonhuis,27,5,22.62068877,"Bezaanjachtplein 243, 1034 CR Amsterdam, Netherlands",,243,Bezaanjachtplein,1034CR,Noord,Banne Buiksloot,Amsterdam,North Holland,Netherlands
1094 HN Amsterdam,Javastraat 106,52.3626,4.936,215000,0,0,1,0,0,onbekend,1,1,22.68397045,"Sumatrastraat 69, 1094 LR Amsterdam, Netherlands",,69,Sumatrastraat,1094LR,Oost,Indische Buurt West,Amsterdam,North Holland,Netherlands
1106 AS Amsterdam,Reigersbos 50,52.2991,4.9754,120000,60,180,4,1984,0,appartement,21,2,2.949591066,"Pannerdenstraat, 1106 BG Amsterdam, Netherlands",Pannerdenstraat,,Pannerdenstraat,1106BG,,Zuidoost,Amsterdam,North Holland,Netherlands
1017 LJ Amsterdam,Reguliersgracht 1,52.363,4.8924,865000,143,430,4,1906,0,appartement,59,7,0.613385294,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",,245L,Kerkstraat,1017GW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1078 AZ Amsterdam,Amstelkade 169 A-1,52.3464,4.8977,425000,81,273,1,1936,0,appartement,17,4,11.34464554,"Churchill-laan 75D, 1078 DJ Amsterdam, Netherlands",,75D,Churchill-laan,1078DJ,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1055 ES Amsterdam,Baetostraat 20 hs,52.3802,4.8524,350000,74,243,2,1939,1,appartement,30,4,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1033 CD Amsterdam,Poolsterstraat 11,52.4092,4.8902,232500,70,255,2,1925,1,woonhuis,26,2,5.173699461,"Kometensingel 617, 1033 BT Amsterdam, Netherlands",,617,Kometensingel,1033BT,Noord,Tuindorp Oostzaan,Amsterdam,North Holland,Netherlands
1019 BZ Amsterdam,Veemkade 1134,52.3733,4.9391,495000,108,334,2,1995,0,appartement,20,3,5.763955155,"C.J.K. van Aalststraat 44, 1019 JZ Amsterdam, Netherlands",,44,C.J.K. van Aalststraat,1019JZ,,Eastern Docklands,Amsterdam,North Holland,Netherlands
1067 TC Amsterdam,Osdorperweg 820,52.3786,4.7987,589000,157,450,2,1998,1,woonhuis,32,5,18.89536903,"Strack̩straat 8, 1067 KR Amsterdam, Netherlands",,8,Strack̩straat,1067KR,Nieuw-West,Geuzenveld,Amsterdam,North Holland,Netherlands
1087 GZ Amsterdam,Maria Austriastraat 833,52.3539,5.0005,275000,84,210,1,2003,0,appartement,14,3,14.54762257,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands
1068 ZZ Amsterdam,Meer en Vaart 118 A,52.3592,4.8052,345000,116,370,1,2008,0,appartement,31,4,1.968066562,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",,677,Osdorpplein,1068TC,Nieuw-West,Nieuw-West,Amsterdam,North Holland,Netherlands
1107 AW Amsterdam,Wethouder In 't Veldstraat 29,52.2932,4.9803,225000,100,290,3,1984,1,woonhuis,25,5,5.755793401,"Sliedrechtstraat, 1107 JR Amsterdam, Netherlands",Sliedrechtstraat,,Sliedrechtstraat,1107JR,,Gein,Amsterdam,North Holland,Netherlands
1012 NB Amsterdam,Nieuwezijds Armsteeg 19,52.3735,4.8951,300000,70,195,4,1981,0,appartement,19,3,21.62983867,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",,157,Warmoesstraat,1012JC,Centrum,Oudezijde,Amsterdam,North Holland,Netherlands
1072 CC Amsterdam,Saenredamstraat 51,52.3535,4.8902,699000,112,170,1,1880,0,appartement,1,2,4.56624317,"Eerste Jan van der Heijdenstraat 109-HV, 1072 TN Amsterdam, Netherlands",,109-HV,Eerste Jan van der Heijdenstraat,1072TN,,Zuid,Amsterdam,North Holland,Netherlands
1036 KJ Amsterdam,Boomgaardlaan 63,52.4082,4.9025,339000,105,348,3,2007,1,woonhuis,19,5,6.79052882,"Boomgaardlaan 61, 1036 KJ Amsterdam, Netherlands",,61,Boomgaardlaan,1036KJ,Noord,Noord,Amsterdam,North Holland,Netherlands
1034 SP Amsterdam,Voorsteven 92,52.4075,4.917,175000,85,270,1,1977,0,appartement,26,5,22.62068877,"Bezaanjachtplein 243, 1034 CR Amsterdam, Netherlands",,243,Bezaanjachtplein,1034CR,Noord,Banne Buiksloot,Amsterdam,North Holland,Netherlands
1012 RN Amsterdam,Wijdesteeg 3 F,52.3735,4.8951,604840,79,315,4,1906,0,appartement,25,2,21.62983867,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",,157,Warmoesstraat,1012JC,Centrum,Oudezijde,Amsterdam,North Holland,Netherlands
1013 BD Amsterdam,Haparandaweg 726,52.3877,4.8839,165000,28,90,1,2015,0,appartement,18,1,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
1025 KV Amsterdam,Florence Nightingalestraat 16,52.399,4.9361,400000,110,296,1,1970,0,woonhuis,1,5,12.75019992,"Buikslotermeerplein 124, 1025 EX Amsterdam, Netherlands",,124,Buikslotermeerplein,1025EX,Noord,Noord,Amsterdam,North Holland,Netherlands
1075 NB Amsterdam,Cornelis Krusemanstraat 9 -II,52.3518,4.8586,899000,180,626,2,1925,0,appartement,21,4,12.51019918,"Koninginneweg 237-H, 1075 CT Amsterdam, Netherlands",,237-H,Koninginneweg,1075CT,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1106 HV Amsterdam,Mijehof 262,52.2991,4.9754,224900,114,421,3,1981,1,woonhuis,18,6,2.949591066,"Pannerdenstraat, 1106 BG Amsterdam, Netherlands",Pannerdenstraat,,Pannerdenstraat,1106BG,,Zuidoost,Amsterdam,North Holland,Netherlands
1013 ES Amsterdam,Haarlemmerstraat 38 B,52.3877,4.8839,775000,126,365,3,1906,1,appartement,48,4,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
1055 DX Amsterdam,Bos en Lommerweg 301 II,52.3802,4.8524,335000,75,270,1,1931,0,appartement,28,3,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1067 NH Amsterdam,Nicolaas Ruychaverstraat 3,52.3786,4.7987,360000,109,377,3,1987,1,woonhuis,22,4,18.89536903,"Strack̩straat 8, 1067 KR Amsterdam, Netherlands",,8,Strack̩straat,1067KR,Nieuw-West,Geuzenveld,Amsterdam,North Holland,Netherlands
1061 SE Amsterdam,Andries Copierstraat 100,52.3736,4.8395,315000,90,289,1,2009,0,appartement,16,3,19.25031897,"Rinus Michelslaan 14A, 1061 MB Amsterdam, Netherlands",,14A,Rinus Michelslaan,1061MB,West,Kolenkitbuurt,Amsterdam,North Holland,Netherlands
1055 BM Amsterdam,Sanderijnstraat 9 2,52.3802,4.8524,225000,57,188,1,1940,0,appartement,31,3,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1106 CS Amsterdam,Veenendaalplein 148,52.2991,4.9754,135000,50,150,1,1984,0,appartement,1,2,2.949591066,"Pannerdenstraat, 1106 BG Amsterdam, Netherlands",Pannerdenstraat,,Pannerdenstraat,1106BG,,Zuidoost,Amsterdam,North Holland,Netherlands
1054 EN Amsterdam,Eerste Helmersstraat 212 II,52.3617,4.8669,350000,65,172,1,1910,0,appartement,17,4,12.08561574,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",,15-2,Brederodestraat,1054MP,West,Helmersbuurt,Amsterdam,North Holland,Netherlands
1011 HC Amsterdam,Nieuwe Hoogstraat 15 B,52.371,4.9041,435000,80,258,1,1906,1,appartement,30,3,0.935823345,"Keizersbrug, 1011 KV Amsterdam, Netherlands",Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands
1091 BE Amsterdam,Tilanusstraat 55 3,52.3556,4.9135,300000,56,192,1,1906,0,appartement,18,2,5.562369844,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",,11E,Derde Oosterparkstraat,1091JS,Oost,Oost,Amsterdam,North Holland,Netherlands
1083 VK Amsterdam,Sterkenburg 12,52.3302,4.8844,41000,0,0,1,0,0,onbekend,1,1,13.78855054,"Sijpestein 1, 1083 XH Amsterdam, Netherlands",,1,Sijpestein,1083XH,Zuid,Buitenveldert-Oost,Amsterdam,North Holland,Netherlands
1106 XW Amsterdam,Opijnenhof 112,52.2991,4.9754,155000,87,243,1,1976,0,appartement,20,4,2.949591066,"Pannerdenstraat, 1106 BG Amsterdam, Netherlands",Pannerdenstraat,,Pannerdenstraat,1106BG,,Zuidoost,Amsterdam,North Holland,Netherlands
1068 JC Amsterdam,Eastonstraat 85,52.3592,4.8052,24800,0,0,1,0,0,parkeergelegenheid,5,1,1.968066562,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",,677,Osdorpplein,1068TC,Nieuw-West,Nieuw-West,Amsterdam,North Holland,Netherlands
1102 SH Amsterdam,Pikoletstraat 20,52.3166,4.9517,250000,123,428,3,1997,1,woonhuis,25,5,49.79663638,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",,3,Raoul Wallenberghofje,1102AH,Zuidoost,Bijlmer Centrum,Amsterdam,North Holland,Netherlands
1025 AG Amsterdam,Elpermeer 265,52.399,4.9361,190000,78,200,1,1970,0,appartement,28,3,12.75019992,"Buikslotermeerplein 124, 1025 EX Amsterdam, Netherlands",,124,Buikslotermeerplein,1025EX,Noord,Noord,Amsterdam,North Holland,Netherlands
1018 GP Amsterdam,Sarphatistraat 58 hs,52.3676,4.9184,1290000,246,981,3,1906,1,appartement,35,6,4.080374033,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",,4,Entrepotdoksluis,1018AW,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1087 GM Amsterdam,Diemerparklaan 66,52.3539,5.0005,500000,130,410,3,2006,1,woonhuis,24,5,14.54762257,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands
1066 LK Amsterdam,Eisdenstraat 34,52.346,4.8163,535000,145,485,2,1993,1,woonhuis,31,3,2.708019666,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands
1077 NZ Amsterdam,Minervalaan 24 I,52.346,4.8738,785000,138,492,1,1928,0,appartement,20,6,8.308924964,"Rubensstraat 70, 1077 NA Amsterdam, Netherlands",,70,Rubensstraat,1077NA,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1055 PR Amsterdam,Haarlemmerweg 587 I,52.3802,4.8524,275000,69,210,1,1936,0,appartement,25,3,1.768098137,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands
1035 GE Amsterdam,Stellingweg 202,52.4196,4.8944,625000,152,548,3,1987,1,woonhuis,47,6,5.227310669,"Jacob Honigstraat 5, 1035 XV Amsterdam, Netherlands",,5,Jacob Honigstraat,1035XV,Noord,Oostzanerwerf,Amsterdam,North Holland,Netherlands
1053 WH Amsterdam,Da Costakade 333,52.3668,4.8681,425000,0,0,1,0,0,onbekend,1,1,0,"De Hallen, Hannie Dankbaarpassage 20, 1053 RS Amsterdam, Netherlands",De Hallen,20,Hannie Dankbaarpassage,1053RS,,West,Amsterdam,North Holland,Netherlands
1053 DC Amsterdam,Kinkerstraat 23 -V,52.3668,4.8681,299000,45,136,1,1906,0,appartement,17,2,0,"De Hallen, Hannie Dankbaarpassage 20, 1053 RS Amsterdam, Netherlands",De Hallen,20,Hannie Dankbaarpassage,1053RS,,West,Amsterdam,North Holland,Netherlands
1015 HP Amsterdam,Palmstraat 83 A,52.3784,4.8836,219000,32,75,1,1906,0,appartement,13,2,11.71573516,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",,105-1,Westerstraat,1015LX,Centrum,Centrum,Amsterdam,North Holland,Netherlands
1058 SW Amsterdam,Vogelenzangstraat 62 hs,52.3579,4.851,299000,55,150,5,1931,1,appartement,17,2,3.014316146,"Surinameplein, 1058 Amsterdam, Netherlands",Surinameplein,,Surinameplein,1058,,,Amsterdam,North Holland,Netherlands
1077 SZ Amsterdam,Stadionweg 148 IV,52.346,4.8738,600000,122,401,1,1939,0,appartement,24,5,8.308924964,"Rubensstraat 70, 1077 NA Amsterdam, Netherlands",,70,Rubensstraat,1077NA,Zuid,Zuid,Amsterdam,North Holland,Netherlands
1025 ZV Amsterdam,Amerbos 312,52.399,4.9361,99000,35,100,8,1968,0,appartement,32,1,12.75019992,"Buikslotermeerplein 124, 1025 EX Amsterdam, Netherlands",,124,Buikslotermeerplein,1025EX,Noord,Noord,Amsterdam,North Holland,Netherlands
1086 VB Amsterdam,Brigantijnkade 72,52.3628,4.9819,595000,151,499,3,2009,1,woonhuis,31,5,0.535708752,"IJburglaan 257, 1086 ZJ Amsterdam, Netherlands",,257,IJburglaan,1086ZJ,Oost,Steigereiland-Noord,Amsterdam,North Holland,Netherlands
1098 WP Amsterdam,Esplanade de Meer 152,52.3529,4.9422,350000,94,276,1,2001,0,appartement,19,3,5.359207258,"Voltaplein 42, 1098 NS Amsterdam, Netherlands",,42,Voltaplein,1098NS,Oost,Oost,Amsterdam,North Holland,Netherlands
1087 EH Amsterdam,Erich Salomonstraat 152,52.3539,5.0005,250000,80,274,1,2010,0,appartement,34,3,14.54762257,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",,987,Maria Austriastraat,1087JB,Oost,IJburg West,Amsterdam,North Holland,Netherlands
1054 JG Amsterdam,Overtoom 350 IV,52.3617,4.8669,225000,36,107,1,1903,0,appartement,27,2,12.08561574,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",,15-2,Brederodestraat,1054MP,West,Helmersbuurt,Amsterdam,North Holland,Netherlands
1096 GG Amsterdam,Amstelvlietstraat,52.3387,4.9197,36950,0,0,1,0,0,parkeergelegenheid,1,1,0.99544101,"Amstelvlietstraat 408, 1096 GG Amsterdam, Netherlands",,408,Amstelvlietstraat,1096GG,Oost,De Omval,Amsterdam,North Holland,Netherlands
1024 BC Amsterdam,Jisperveldstraat 573,52.3939,4.9547,119000,35,95,1,1968,0,appartement,1,1,5.346782838,"Zandvoortstraat 70, 1024 WE Amsterdam, Netherlands",,70,Zandvoortstraat,1024WE,Noord,Waterlandpleinbuurt,Amsterdam,North Holland,Netherlands
1013 AK Amsterdam,Bouwnummer 68 (Bouwnr. 068),52.3877,4.8839,759750,167,718,3,2019,1,woonhuis,6,3,22.60058054,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands
