postalcode,street,lat,lng,price,area,volume,floors,year_build,has_garden,type,photos,rooms,distance,formatted,name,housenumber,street.1,postcode,district,suburb,city,state,country
1091 GT Amsterdam,Eerste Oosterparkstraat 35 I,52.3556,4.9135,295000,53,168,1,1906,0,appartement,21,3,5.562369844,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",,11E,Derde Oosterparkstraat,1091JS,Oost,Oost,Amsterdam,North Holland,Netherlands
1092 TG Amsterdam,Vrolikstraat 431 B,52.3565,4.9228,485000,99,278,5,1998,0,appartement,16,3,22.9775679,"Tugelaweg 40G, 1092 VG Amsterdam, Netherlands",,40G,Tugelaweg,1092VG,Oost,Transvaalbuurt,Amsterdam,North Holland,Netherlands
1033 XE Amsterdam,Eenhoornhof 4 H,52.4092,4.8902,150000,43,165,1,1945,1,appartement,20,2,5.173699461,"Kometensingel 617, 1033 BT Amsterdam, Netherlands",,617,Kometensingel,1033BT,Noord,Tuindorp Oostzaan,Amsterdam,North Holland,Netherlands
1034 LH Amsterdam,Bramzeilhof 32,52.4075,4.917,187500,75,245,1,1976,1,appartement,24,3,22.62068877,"Bezaanjachtplein 243, 1034 CR Amsterdam, Netherlands",,243,Bezaanjachtplein,1034CR,Noord,Banne Buiksloot,Amsterdam,North Holland,Netherlands
1016 GX Amsterdam,Prinsengracht 309 /pp,52.3709,4.8816,75000,0,0,1,0,0,parkeergelegenheid,1,1,0,"Canal Ring Area of Amsterdam, Konijnenstraat 20, 1021 HR Amsterdam, Netherlands",Canal Ring Area of Amsterdam,20,Konijnenstraat,1021HR,,Centrum,Amsterdam,North Holland,Netherlands
1025 HT Amsterdam,Het Breed 529,52.399,4.9361,275000,100,314,17,1968,0,appartement,27,3,12.75019992,"Buikslotermeerplein 124, 1025 EX Amsterdam, Netherlands",,124,Buikslotermeerplein,1025EX,Noord,Noord,Amsterdam,North Holland,Netherlands
1056 PJ Amsterdam,Orteliusstraat 240 -2,52.3732,4.856,250000,51,166,1,1935,0,appartement,14,3,25.67499874,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",,228-2,Admiralengracht,1056TK,West,De Krommert,Amsterdam,North Holland,Netherlands
1072 SG Amsterdam,Karel du Jardinstraat 33 IV,52.3535,4.8902,1295000,193,1000,4,1906,0,appartement,12,4,4.56624317,"Eerste Jan van der Heijdenstraat 109-HV, 1072 TN Amsterdam, Netherlands",,109-HV,Eerste Jan van der Heijdenstraat,1072TN,,Zuid,Amsterdam,North Holland,Netherlands
1011 PG Amsterdam,Waterlooplein 383,52.371,4.9041,250000,35,109,1,1906,0,appartement,15,1,0.935823345,"Keizersbrug, 1011 KV Amsterdam, Netherlands",Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands
1094 GE Amsterdam,Madurastraat 35 -I,52.3626,4.936,275000,52,164,1,1910,0,appartement,30,3,22.68397045,"Sumatrastraat 69, 1094 LR Amsterdam, Netherlands",,69,Sumatrastraat,1094LR,Oost,Indische Buurt West,Amsterdam,North Holland,Netherlands
1059 EA Amsterdam,Heemstedestraat 47 -2,52.3488,4.8468,275000,54,150,1,1931,0,appartement,18,3,7.424910889,"Sassenheimstraat 80-1, 1059 BM Amsterdam, Netherlands",,80-1,Sassenheimstraat,1059BM,Zuid,Hoofddorppleinbuurt,Amsterdam,North Holland,Netherlands
