original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,state,country,country_code,attribution,attribution_license,attribution_url
1062 EG Amsterdam,Loosduinenstraat 16,52.35480000,4.83810000,375000,94,254,1,2010,0,appartement,14,3,17.33250801326791,"Koningin Wilhelminaplein 1008, 1062 KS Amsterdam, Netherlands",52.354955,4.838127,,1008,Koningin Wilhelminaplein,1062KS,Nieuw-West,Westlandgracht,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1058 BZ Amsterdam,Curaçaostraat 64 -3,52.35790000,4.85100000,515000,109,370,2,1930,0,appartement,27,5,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,Surinameplein,,Surinameplein,1058,,,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1051 AV Amsterdam,Van der Duijnstraat 4 B,52.38180000,4.87170000,299500,69,222,1,1983,0,appartement,18,3,4.222585482550074,"Van Beuningenstraat 194E, 1051 XZ Amsterdam, Netherlands",52.381764,4.8716802,,194E,Van Beuningenstraat,1051XZ,West,West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1052 DD Amsterdam,De Wittenkade,52.37700000,4.87400000,49500,0,0,1,0,0,parkeergelegenheid,7,1,2.189558787067854,"Frederik Hendrikstraat 48-1, 1052 HW Amsterdam, Netherlands",52.3770196,4.8739969,,48-1,Frederik Hendrikstraat,1052HW,West,West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1054 WG Amsterdam,Wilhelminastraat 205 -II,52.36170000,4.86690000,300000,55,148,1,1906,0,appartement,32,4,12.085615741751521,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",52.361808,4.86692,,15-2,Brederodestraat,1054MP,West,Helmersbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1091 VM Amsterdam,Tugelaweg 74 -hs,52.35560000,4.91350000,205000,40,108,1,1929,0,appartement,11,2,5.562369844050275,"Derde Oosterparkstraat 11E, 1091 JS Amsterdam, Netherlands",52.3556497,4.9135093,,11E,Derde Oosterparkstraat,1091JS,Oost,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1018 GG Amsterdam,Sarphatistraat 181 HS,52.36760000,4.91840000,985000,170,581,6,1910,1,appartement,52,6,4.080374033250982,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",52.367578,4.9184481,,4,Entrepotdoksluis,1018AW,Centrum,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1068 ZJ Amsterdam,Boutenburg 349,52.35920000,4.80520000,175000,67,220,9,1961,0,appartement,31,3,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,,677,Osdorpplein,1068TC,Nieuw-West,Nieuw-West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1011 PG Amsterdam,Waterlooplein 177 A,52.37100000,4.90410000,550000,89,266,1,2005,0,appartement,25,3,0.9358233445245736,"Keizersbrug, 1011 KV Amsterdam, Netherlands",52.3710995,4.9040025,Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1019 HD Amsterdam,Veembroederhof 121 *,52.37330000,4.93910000,659000,146,400,1,2005,0,appartement,25,4,5.763955155170856,"C.J.K. van Aalststraat 44, 1019 JZ Amsterdam, Netherlands",52.3732484,4.9391081,,44,C.J.K. van Aalststraat,1019JZ,,Eastern Docklands,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1012 BS Amsterdam,Bloedstraat 13,52.37350000,4.89510000,270000,0,0,1,0,0,onbekend,1,1,21.629838672501716,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",52.373392,4.895365,,157,Warmoesstraat,1012JC,Centrum,Oudezijde,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1082 KT Amsterdam,Willem van Weldammelaan 79,52.33110000,4.87420000,895000,153,530,1,2008,0,appartement,49,3,14.773310690004186,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",52.3309672,4.8742065,,197,Doddendaal,1082XT,Zuid,Buitenveldert,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1082 TK Amsterdam,Frieslandstraat 21,52.33110000,4.87420000,275000,75,250,1,1963,0,appartement,23,4,14.773310690004186,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",52.3309672,4.8742065,,197,Doddendaal,1082XT,Zuid,Buitenveldert,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1055 BB Amsterdam,Lanseloetstraat 29 I,52.38020000,4.85240000,230000,47,139,1,1931,0,appartement,28,3,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1062 JT Amsterdam,Postjesweg 423,52.35480000,4.83810000,189000,81,247,7,1961,0,appartement,18,4,17.33250801326791,"Koningin Wilhelminaplein 1008, 1062 KS Amsterdam, Netherlands",52.354955,4.838127,,1008,Koningin Wilhelminaplein,1062KS,Nieuw-West,Westlandgracht,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1013 NN Amsterdam,Barentszstraat 335,52.38770000,4.88390000,380000,63,188,1,1906,1,appartement,14,2,22.600580536478933,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",52.387801,4.883611,,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1016 AT Amsterdam,Dubbeleworststeeg 2 -boven,52.37090000,4.88160000,1325000,241,680,3,1906,0,woonhuis,61,5,0,"Canal Ring Area of Amsterdam, Konijnenstraat 20, 1021 HR Amsterdam, Netherlands",52.3709412,4.8817323,Canal Ring Area of Amsterdam,20,Konijnenstraat,1021HR,,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1078 ET Amsterdam,Churchill-laan 188 HS,52.34640000,4.89770000,799000,108,416,1,1928,1,appartement,35,3,11.344645539447924,"Churchill-laan 75D, 1078 DJ Amsterdam, Netherlands",52.3464982,4.8976547,,75D,Churchill-laan,1078DJ,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1066 HH Amsterdam,Borgloonstraat 6 L,52.34600000,4.81630000,445000,142,419,4,2002,1,woonhuis,30,6,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1011 CP Amsterdam,Nieuwe Ridderstraat 6 *,52.37100000,4.90410000,650000,105,284,3,1906,0,appartement,9,3,0.9358233445245736,"Keizersbrug, 1011 KV Amsterdam, Netherlands",52.3710995,4.9040025,Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1024 JX Amsterdam,Hilversumstraat 157,52.39390000,4.95470000,175000,79,250,1,1960,0,appartement,21,4,5.346782837843484,"Zandvoortstraat 70, 1024 WE Amsterdam, Netherlands",52.3938521,4.9546931,,70,Zandvoortstraat,1024WE,Noord,Waterlandpleinbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1065 EG Amsterdam,Jacques Veltmanstraat 93,52.35730000,4.82780000,315000,92,280,12,2003,0,appartement,22,3,12.739896973222553,"Cornelis Lelylaan 117, 1065 CN Amsterdam, Netherlands",52.357281,4.827985,,117,Cornelis Lelylaan,1065CN,Nieuw-West,Slotervaart,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1058 NG Amsterdam,Legmeerstraat 60 -II,52.35790000,4.85100000,719000,135,504,3,1931,0,appartement,30,4,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,Surinameplein,,Surinameplein,1058,,,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1107 WN Amsterdam,Spakenburgstraat 33,52.29320000,4.98030000,199500,86,255,2,1985,1,woonhuis,17,4,5.755793401264633,"Sliedrechtstraat, 1107 JR Amsterdam, Netherlands",52.2932466,4.9805132,Sliedrechtstraat,,Sliedrechtstraat,1107JR,,Gein,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
