postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1082 CT Amsterdam;Boeckenburg 29;52.33110000;4.87420000;199000;67;200;1;1960;0;appartement;12;2
1019 HW Amsterdam;Borneolaan 1;52.37330000;4.93910000;40000;0;0;1;0;0;onbekend;1;1
1063 BN Amsterdam;Burgemeester De Vlugtlaan 287;52.38140000;4.82590000;160000;58;151;1;1958;0;appartement;23;2
1087 JC Amsterdam;Maria Austriastraat 680;52.35390000;5.00050000;344000;126;378;7;2005;0;appartement;18;3
1078 ST Amsterdam;Uithoornstraat 23 II;52.34640000;4.89770000;369000;74;242;1;1922;0;appartement;29;4
1013 SN Amsterdam;Assendelftstraat 13;52.38770000;4.88390000;325000;65;195;4;1980;0;appartement;28;3
1094 HB Amsterdam;Javastraat 91 -III;52.36260000;4.93600000;200000;31;104;1;1903;0;appartement;30;2
1074 CL Amsterdam;Tweede Jan Steenstraat 75 4 V;52.35390000;4.90420000;188800;24;74;5;1906;0;appartement;21;1
1021 NN Amsterdam;Buitendraaierij 38;52.38460000;4.91720000;255000;0;0;1;0;0;onbekend;1;1
1066 SL Amsterdam;Berlaarstraat 68;52.34600000;4.81630000;305000;103;265;2;1995;1;woonhuis;22;4
1087 CL Amsterdam;IJburglaan 785;52.35390000;5.00050000;280000;0;0;1;0;0;onbekend;1;1
1035 CV Amsterdam;Wipmolen 13;52.41960000;4.89440000;199000;97;304;1;1969;0;appartement;17;4
1052 LW Amsterdam;Hugo de Grootkade 70 B;52.37700000;4.87400000;450000;89;240;1;2004;0;appartement;25;3
1096 AK Amsterdam;State Amsterdam;52.33870000;4.91970000;570977;103;268;1;2019;0;appartement;6;3
1063 MH Amsterdam;Jan de Jonghkade 66;52.38140000;4.82590000;289000;95;285;1;1999;0;appartement;28;3
1072 VK Amsterdam;Gerard Doustraat 31 HS;52.35350000;4.89020000;299000;50;180;1;1906;1;appartement;16;3
1053 XD Amsterdam;Da Costakade 168 C;52.36680000;4.86810000;200000;29;93;1;1893;0;appartement;17;2
1075 HD Amsterdam;Johannes Verhulststraat 184 bv;52.35180000;4.85860000;1200000;155;481;2;1908;1;appartement;29;5
1016 EK Amsterdam;Keizersgracht 403 I;52.37090000;4.88160000;1250000;145;448;1;1669;0;appartement;44;4
1059 TB Amsterdam;Abbenesstraat 11 III;52.34880000;4.84680000;399000;103;350;2;1935;0;appartement;24;6
1053 ST Amsterdam;Jan Hanzenstraat 80;52.36680000;4.86810000;550000;85;299;3;2011;1;woonhuis;33;3
1055 NZ Amsterdam;Doggersbankstraat 22 2;52.38020000;4.85240000;235000;48;155;1;1936;0;appartement;21;3
1016 DH Amsterdam;Westermarkt 7 II;52.37090000;4.88160000;600000;115;357;3;1906;1;appartement;36;4
1058 TE Amsterdam;Woestduinstraat 22;52.35790000;4.85100000;845000;126;325;2;1956;1;appartement;28;5
1071 MK Amsterdam;Valeriusstraat 40 2;52.35520000;4.87890000;1050000;143;497;2;1906;1;appartement;30;4
1055 RZ Amsterdam;Nieuwpoortstraat 86 A 9;52.38020000;4.85240000;408500;83;294;1;2017;0;appartement;20;2
1019 AZ Amsterdam;Panamalaan 174;52.37330000;4.93910000;450000;120;395;2;2000;0;appartement;39;5
1019 HD Amsterdam;Veembroederhof 221;52.37330000;4.93910000;500000;113;250;6;2001;0;appartement;34;3
1013 KN Amsterdam;Grote Bickersstraat 39 hs;52.38770000;4.88390000;265000;43;165;1;1906;0;appartement;27;2
1066 WH Amsterdam;Schaarbeekstraat 24;52.34600000;4.81630000;319500;120;335;3;1991;1;woonhuis;26;5
1016 CE Amsterdam;Herengracht 326 III;52.37090000;4.88160000;749000;85;287;2;1899;0;appartement;18;3
1055 RZ Amsterdam;Nieuwpoortstraat 86 D5;52.38020000;4.85240000;420000;84;244;2;2017;1;appartement;20;3
1075 TE Amsterdam;Sluisstraat 18 I;52.35180000;4.85860000;289000;50;166;1;1912;0;appartement;12;2
1104 HA Amsterdam;Kantershof 461;52.31640000;4.97760000;150000;50;183;1;1973;1;woonhuis;17;2
1092 HE Amsterdam;Transvaalstraat 93 B-I;52.35650000;4.92280000;200000;46;151;1;1938;0;appartement;12;2
1025 ZC Amsterdam;Amerbos 203;52.39900000;4.93610000;292500;140;432;3;1969;1;woonhuis;31;4
1067 EH Amsterdam;Wigbolt Ripperdastraat 72;52.37860000;4.79870000;275000;120;325;2;2005;0;appartement;21;3
1064 DC Amsterdam;Dom H. van der Laanstraat 20;52.37420000;4.82180000;425000;126;469;3;1999;1;woonhuis;31;6
1017 DP Amsterdam;Keizersgracht 537;52.36300000;4.89240000;1400000;143;495;4;1906;0;woonhuis;2;6
1092 AW Amsterdam;Oosterpark 85 hs;52.35650000;4.92280000;500000;86;368;2;1884;1;appartement;30;4
1087 KH Amsterdam;Maria Austriastraat 732;52.35390000;5.00050000;23000;0;0;1;0;0;parkeergelegenheid;1;1
1063 BK Amsterdam;Burgemeester De Vlugtlaan 145 C;52.38140000;4.82590000;225000;86;257;3;1958;0;appartement;19;4
1016 GX Amsterdam;Prinsengracht 309 311;52.37090000;4.88160000;75000;0;0;1;0;0;parkeergelegenheid;1;1
1017 KH Amsterdam;Prinsengracht 512 II;52.36300000;4.89240000;425000;72;277;1;1906;0;appartement;24;2
1069 EE Amsterdam;Langswater 600;52.35560000;4.79070000;175000;70;210;13;1967;0;appartement;18;4
1012 BH Amsterdam;Geldersekade 6;52.37350000;4.89510000;2850000;450;1473;6;1906;1;woonhuis;54;12
1017 SW Amsterdam;Tweede Weteringdwarsstraat 10;52.36300000;4.89240000;1275000;170;560;4;1864;1;woonhuis;32;7
1051 NV Amsterdam;Haarlemmerweg 259 C;52.38180000;4.87170000;350000;82;246;1;1998;0;appartement;17;3
1012 JS Amsterdam;Dam 5 /Y;52.37350000;4.89510000;9100000;305;1200;1;2017;1;appartement;20;6
1072 SL Amsterdam;Van Ostadestraat 5 -IV;52.35350000;4.89020000;399500;57;181;1;1906;0;appartement;24;3
1075 PT Amsterdam;Lomanstraat 25 boven;52.35180000;4.85860000;1045000;156;542;2;1913;0;appartement;31;5
1015 SC Amsterdam;Tweede Egelantiersdwarsstraat 22 I;52.37840000;4.88360000;219000;24;79;1;1737;1;appartement;19;2
1025 NP Amsterdam;Noord-Bevelandstraat 13;52.39900000;4.93610000;279500;64;312;3;1932;1;woonhuis;18;4
1016 VT Amsterdam;Looiersgracht 120 PP;52.37090000;4.88160000;95000;0;0;1;0;0;parkeergelegenheid;5;1
1069 DA Amsterdam;Wolbrantskerkweg 104 D;52.35560000;4.79070000;225000;90;245;10;2004;0;appartement;17;3
1051 JK Amsterdam;Rochussenstraat 9 I;52.38180000;4.87170000;220000;37;120;1;1906;0;appartement;13;2
1071 XB Amsterdam;Ruysdaelstraat 79 A;52.35520000;4.87890000;2120000;244;735;2;2017;1;appartement;10;5
1015 BS Amsterdam;Herengracht 100 hs V;52.37840000;4.88360000;995000;188;725;2;1620;0;appartement;27;5
1051 VC Amsterdam;Van der Hoopstraat 65 III;52.38180000;4.87170000;250000;44;106;1;1906;0;appartement;17;2
1077 LA Amsterdam;Prinses Margrietstraat 52;52.34600000;4.87380000;2300000;250;930;3;1945;1;woonhuis;44;8
1063 ML Amsterdam;Willem Kraanstraat 52;52.38140000;4.82590000;195000;0;0;1;0;0;onbekend;1;1
1069 GD Amsterdam;Akerwateringstraat 149;52.35560000;4.79070000;200000;100;300;2;1996;0;appartement;29;4
1011 MH Amsterdam;Valkenburgerstraat 141 A+B;52.37100000;4.90410000;440000;119;358;1;1999;0;appartement;33;3
1054 AJ Amsterdam;Alberdingk Thijmstraat 10 C;52.36170000;4.86690000;949000;149;516;2;1898;1;appartement;34;5
1102 TS Amsterdam;Barbusselaan 7;52.31660000;4.95170000;155000;84;258;1;1984;0;appartement;18;4
1082 VJ Amsterdam;Valkhof 38;52.33110000;4.87420000;275000;77;216;1;1963;0;appartement;19;4
1108 DP Amsterdam;Leusdenhof 306;52.30820000;4.98070000;150000;70;182;1;1980;0;appartement;15;3
1083 HC Amsterdam;Mensinge 34;52.33020000;4.88440000;569000;161;470;11;1970;0;appartement;16;4
1087 EN Amsterdam;Diemerparklaan;52.35390000;5.00050000;19750;0;0;1;0;0;onbekend;1;1
1053 DS Amsterdam;Kinkerstraat 223 -F;52.36680000;4.86810000;275000;73;230;1;1981;0;appartement;30;3
1071 LD Amsterdam;Palestrinastraat 19 huis;52.35520000;4.87890000;1650000;218;642;3;1906;1;appartement;29;6
1017 KH Amsterdam;Prinsengracht 494 2;52.36300000;4.89240000;1500000;234;522;2;1906;1;appartement;49;4
1061 BM Amsterdam;Blauwvoetstraat 73;52.37360000;4.83950000;439000;126;461;2;2012;0;appartement;40;4
