postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1075 CM Amsterdam;Koninginneweg 151 C;52.35180000;4.85860000;1150000;185;654;2;1906;0;appartement;33;5
1011 PG Amsterdam;Waterlooplein 201 -203;52.37100000;4.90410000;800000;135;400;3;1906;0;appartement;21;6
1087 KA Amsterdam;Lisdoddelaan 106;52.35390000;5.00050000;1285000;254;886;3;2011;1;woonhuis;20;7
1053 CM Amsterdam;Hasebroekstraat 33 huis;52.36680000;4.86810000;379000;76;218;1;1910;1;appartement;22;4
1069 TS Amsterdam;Langswater 141;52.35560000;4.79070000;139000;62;200;1;1960;0;appartement;27;3
1035 XS Amsterdam;Adriaan Loosjesstraat 6;52.41960000;4.89440000;275000;108;370;3;1958;1;woonhuis;32;5
1082 MS Amsterdam;Gustav Mahlerplein 283;52.33110000;4.87420000;3800000;381;1088;1;2010;0;appartement;33;5
1091 CE Amsterdam;Ruyschstraat 70 bvn;52.35560000;4.91350000;575000;123;388;2;1906;0;appartement;22;4
1018 XJ Amsterdam;Nieuwe Prinsengracht 26;52.36760000;4.91840000;435000;0;0;1;0;0;onbekend;1;1
1102 JA Amsterdam;Huntum 10 B;52.31660000;4.95170000;23000;0;0;1;0;0;parkeergelegenheid;1;1
1035 CL Amsterdam;Spinnekop 41;52.41960000;4.89440000;200000;94;299;1;1961;0;appartement;32;4
1056 PV Amsterdam;Orteliusstraat 362 II-III;52.37320000;4.85600000;550000;102;331;2;1931;0;appartement;35;3
1013 HE Amsterdam;Brouwersgracht 232 G;52.38770000;4.88390000;425000;67;199;1;1991;0;appartement;21;2
1093 CX Amsterdam;Wagenaarstraat 322;52.36180000;4.92800000;265000;58;148;1;1981;0;appartement;19;2
1087 BS Amsterdam;IJburglaan 589;52.35390000;5.00050000;495000;173;540;5;2005;0;appartement;32;4
1094 EC Amsterdam;Bankastraat 49 II;52.36260000;4.93600000;269000;50;163;1;1906;0;appartement;30;2
1104 DK Amsterdam;Kokospalmhof 12;52.31640000;4.97760000;233000;0;0;1;0;0;onbekend;1;1
1060 RG Amsterdam;Ladogameerhof 278;52.34910000;4.78350000;249000;94;270;2;1998;0;appartement;24;3
1011 TJ Amsterdam;Peperstraat 7 I/II;52.37100000;4.90410000;600000;95;336;2;1930;0;appartement;36;4
1056 XG Amsterdam;Jan Haringstraat 17 A-1;52.37320000;4.85600000;289000;52;182;1;1939;0;appartement;21;4
1053 KV Amsterdam;Bilderdijkstraat 70 3;52.36680000;4.86810000;639000;106;318;2;1906;1;appartement;43;4
1091 MR Amsterdam;Ruyschstraat 313 B;52.35560000;4.91350000;290000;60;173;1;1906;0;appartement;34;3
1032 AZ Amsterdam;Aurikelstraat 152;52.39640000;4.91260000;275000;92;290;2;1930;0;appartement;29;5
1034 KV Amsterdam;Voordewind 50;52.40750000;4.91700000;375000;106;406;2;1977;1;woonhuis;27;5
1094 HN Amsterdam;Javastraat 106;52.36260000;4.93600000;215000;0;0;1;0;0;onbekend;1;1
1106 AS Amsterdam;Reigersbos 50;52.29910000;4.97540000;120000;60;180;4;1984;0;appartement;21;2
1017 LJ Amsterdam;Reguliersgracht 1;52.36300000;4.89240000;865000;143;430;4;1906;0;appartement;59;7
1078 AZ Amsterdam;Amstelkade 169 A-1;52.34640000;4.89770000;425000;81;273;1;1936;0;appartement;17;4
1055 ES Amsterdam;Baetostraat 20 hs;52.38020000;4.85240000;350000;74;243;2;1939;1;appartement;30;4
1033 CD Amsterdam;Poolsterstraat 11;52.40920000;4.89020000;232500;70;255;2;1925;1;woonhuis;26;2
