original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,state,country,country_code,attribution,attribution_license,attribution_url
1102 AX Amsterdam,Raoul Wallenbergstraat 71,52.31660000,4.95170000,239000,91,255,1,2010,0,appartement,20,3,49.79663637578256,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",52.316997,4.952039,,3,Raoul Wallenberghofje,1102AH,Zuidoost,Bijlmer Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1058 HV Amsterdam,Andreas Schelfhoutstraat 30,52.35790000,4.85100000,239500,0,0,1,0,0,onbekend,1,1,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,Surinameplein,,Surinameplein,1058,,,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1052 GJ Amsterdam,Fagelstraat 100 III,52.37700000,4.87400000,675000,120,373,2,1905,0,appartement,48,4,2.189558787067854,"Frederik Hendrikstraat 48-1, 1052 HW Amsterdam, Netherlands",52.3770196,4.8739969,,48-1,Frederik Hendrikstraat,1052HW,West,West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1068 SL Amsterdam,Wildeman 65,52.35920000,4.80520000,250000,94,270,1,2000,0,appartement,20,4,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,,677,Osdorpplein,1068TC,Nieuw-West,Nieuw-West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1019 PE Amsterdam,Bogortuin 1,52.37330000,4.93910000,40000,0,0,1,0,0,onbekend,1,1,5.763955155170856,"C.J.K. van Aalststraat 44, 1019 JZ Amsterdam, Netherlands",52.3732484,4.9391081,,44,C.J.K. van Aalststraat,1019JZ,,Eastern Docklands,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1067 TJ Amsterdam,Lutkemeerweg 73,52.37860000,4.79870000,795000,125,350,2,1923,1,woonhuis,49,5,18.895369031063424,"Strackéstraat 8, 1067 KR Amsterdam, Netherlands",52.37863,4.798974,,8,Strackéstraat,1067KR,Nieuw-West,Geuzenveld,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1019 HT Amsterdam,Zeeburgerkade 810,52.37330000,4.93910000,375000,76,247,2,1990,0,appartement,35,3,5.763955155170856,"C.J.K. van Aalststraat 44, 1019 JZ Amsterdam, Netherlands",52.3732484,4.9391081,,44,C.J.K. van Aalststraat,1019JZ,,Eastern Docklands,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1069 WJ Amsterdam,Ingelandenweg 174,52.35560000,4.79070000,250000,95,285,2,1965,1,woonhuis,25,5,25.493785079984995,"Langswater 384, 1069 EC Amsterdam, Netherlands",52.355533,4.790341,,384,Langswater,1069EC,Nieuw-West,De Punt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1058 DT Amsterdam,Postjeskade 193 III,52.35790000,4.85100000,450000,88,277,3,1935,1,appartement,24,5,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,Surinameplein,,Surinameplein,1058,,,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1073 BV Amsterdam,Govert Flinckstraat 203 hs,52.35320000,4.89820000,799000,118,443,2,1906,0,appartement,24,4,2.2512175683180513,"Van Ostadestraat 209K, 1073 TN Amsterdam, Netherlands",52.3532055,4.8981681,,209K,Van Ostadestraat,1073TN,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1066 WK Amsterdam,Knokkestraat 25,52.34600000,4.81630000,375000,120,362,2,1996,1,woonhuis,27,4,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1071 EH Amsterdam,Pieter de Hoochstraat 74 IV+Dakt,52.35520000,4.87890000,750000,118,344,2,1914,0,appartement,39,4,19.593762206140674,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",52.3550303,4.8789777,,26-H,Wouwermanstraat,1071LZ,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1063 AJ Amsterdam,Harry Koningsbergerstraat 228,52.38140000,4.82590000,129000,30,90,1,1958,0,appartement,14,1,2.5954411684806953,"Van Gilsestraat 13-H, 1063 VS Amsterdam, Netherlands",52.3814121,4.8259327,,13-H,Van Gilsestraat,1063VS,Nieuw-West,Slotermeer,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1056 XH Amsterdam,Jan Haringstraat 8 III,52.37320000,4.85600000,244500,51,170,1,1939,0,appartement,29,3,25.674998739078635,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",52.37323,4.856375,,228-2,Admiralengracht,1056TK,West,De Krommert,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1059 AA Amsterdam,Aalsmeerweg 23 II,52.34880000,4.84680000,299000,54,150,1,1906,0,appartement,14,3,7.424910888743452,"Sassenheimstraat 80-1, 1059 BM Amsterdam, Netherlands",52.3488658,4.8468186,,80-1,Sassenheimstraat,1059BM,Zuid,Hoofddorppleinbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1078 EJ Amsterdam,Churchill-laan 62 2,52.34640000,4.89770000,350000,63,210,1,1925,0,appartement,12,3,11.344645539447924,"Churchill-laan 75D, 1078 DJ Amsterdam, Netherlands",52.3464982,4.8976547,,75D,Churchill-laan,1078DJ,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1093 DC Amsterdam,Von Zesenstraat 169,52.36180000,4.92800000,400000,95,240,1,1988,0,appartement,15,4,0,"Dappermarkt, Tweede van Swindenstraat, 1093 GS Amsterdam, Netherlands",52.363045150000005,4.92724532349044,Dappermarkt,,Tweede van Swindenstraat,1093GS,,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1071 HN Amsterdam,Willemsparkweg 116,52.35520000,4.87890000,2480000,320,1265,4,1906,1,woonhuis,40,8,19.593762206140674,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",52.3550303,4.8789777,,26-H,Wouwermanstraat,1071LZ,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1066 GG Amsterdam,Duke Ellingtonstraat,52.34600000,4.81630000,16000,0,0,1,0,0,parkeergelegenheid,1,1,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1072 VJ Amsterdam,Gerard Doustraat 23 Boven,52.35350000,4.89020000,699000,118,370,5,1906,0,appartement,26,4,4.566243169923167,"Eerste Jan van der Heijdenstraat 109-HV, 1072 TN Amsterdam, Netherlands",52.3534607,4.8901805,,109-HV,Eerste Jan van der Heijdenstraat,1072TN,,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1046 Amsterdam,Limmerick Garagebox/Opslag,52.39150000,4.78470000,29500,0,0,1,0,0,parkeergelegenheid,7,1,64.44927235178022,"Portsmuiden 4, 1046 AJ Amsterdam, Netherlands",52.390933,4.784503,,4,Portsmuiden,1046AJ,Nieuw-West,Bedrijventerrein Sloterdijk,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
