original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,housenumber,name,street,district,postcode,suburb,city,state,country,country_code,attribution,attribution_license,attribution_url
1063 HH Amsterdam,Böhlerpad 3,52.38140000,4.82590000,275000,80,275,2,1955,1,woonhuis,22,4,2.5954411684806953,"Van Gilsestraat 13-H, 1063 VS Amsterdam, Netherlands",52.3814121,4.8259327,13-H,,Van Gilsestraat,Nieuw-West,1063VS,Slotermeer,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1087 DP Amsterdam,Cas Oorthuyskade 51,52.35390000,5.00050000,230000,0,0,1,0,0,onbekend,1,1,14.547622573122053,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",52.353989,5.000657,987,,Maria Austriastraat,Oost,1087JB,IJburg West,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1015 AB Amsterdam,Singel 62 1-Voor,52.37840000,4.88360000,491000,67,277,1,1638,1,appartement,15,2,11.715735159463115,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",52.3783013,4.8836604,105-1,,Westerstraat,Centrum,1015LX,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1094 HN Amsterdam,Javastraat 106 l,52.36260000,4.93600000,216000,0,0,1,0,0,onbekend,1,1,22.683970451466475,"Sumatrastraat 69, 1094 LR Amsterdam, Netherlands",52.362521,4.936308,69,,Sumatrastraat,Oost,1094LR,Indische Buurt West,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1069 WC Amsterdam,Wijmarkthof 6,52.35560000,4.79070000,335000,124,372,3,2011,1,woonhuis,23,4,25.493785079984995,"Langswater 384, 1069 EC Amsterdam, Netherlands",52.355533,4.790341,384,,Langswater,Nieuw-West,1069EC,De Punt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1054 KZ Amsterdam,Vondelkerkstraat 14 -H,52.36170000,4.86690000,895000,116,380,2,1913,1,appartement,29,4,12.085615741751521,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",52.361808,4.86692,15-2,,Brederodestraat,West,1054MP,Helmersbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1067 XW Amsterdam,Burgemeester Röellstraat 570 P,52.37860000,4.79870000,16500,0,0,1,0,0,parkeergelegenheid,1,1,18.895369031063424,"Strackéstraat 8, 1067 KR Amsterdam, Netherlands",52.37863,4.798974,8,,Strackéstraat,Nieuw-West,1067KR,Geuzenveld,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1032 AV Amsterdam,Aurikelstraat 24,52.39640000,4.91260000,200000,60,190,1,1930,1,appartement,28,3,13.57212487812395,"Heggerankweg 89-1, 1032 JC Amsterdam, Netherlands",52.396469,4.912765,89-1,,Heggerankweg,Noord,1032JC,Volewijck,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1013 RV Amsterdam,Zaanstraat 32,52.38770000,4.88390000,199000,40,121,1,1914,0,appartement,19,2,22.600580536478933,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",52.387801,4.883611,58A,,Houtmankade,West,1013MZ,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1067 TN Amsterdam,Jacob de Rijkhof 16,52.37860000,4.79870000,315000,110,363,3,1986,1,woonhuis,7,4,18.895369031063424,"Strackéstraat 8, 1067 KR Amsterdam, Netherlands",52.37863,4.798974,8,,Strackéstraat,Nieuw-West,1067KR,Geuzenveld,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1106 DM Amsterdam,Wamelstraat 69,52.29910000,4.97540000,143000,58,189,1,1982,1,appartement,11,2,2.9495910662578444,"Pannerdenstraat, 1106 BG Amsterdam, Netherlands",52.2991825,4.9753742,,Pannerdenstraat,Pannerdenstraat,,1106BG,Zuidoost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1082 TL Amsterdam,Frieslandstraat 53,52.33110000,4.87420000,269000,73,238,1,1965,0,appartement,33,3,14.773310690004186,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",52.3309672,4.8742065,197,,Doddendaal,Zuid,1082XT,Buitenveldert,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1087 NC Amsterdam,Nico Jessekade 241,52.35390000,5.00050000,385000,107,317,1,2001,0,appartement,28,3,14.547622573122053,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",52.353989,5.000657,987,,Maria Austriastraat,Oost,1087JB,IJburg West,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1017 CC Amsterdam,Herengracht 518,52.36300000,4.89240000,7750000,1155,4381,6,1906,1,woonhuis,43,23,0.6133852941470841,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",52.3629963,4.8923933,245L,,Kerkstraat,Centrum,1017GW,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
