original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,housenumber,name,street,district,suburb,postcode,city,state,country,country_code,attribution,attribution_license,attribution_url
1052 BG Amsterdam,Eerste Nassaustraat 6 I,52.37700000,4.87400000,275000,54,173,1,1906,0,appartement,24,3,2.189558787067854,"Frederik Hendrikstraat 48-1, 1052 HW Amsterdam, Netherlands",52.3770196,4.8739969,48-1,,Frederik Hendrikstraat,West,West,1052HW,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1013 GZ Amsterdam,Brouwersgracht 80 c,52.38770000,4.88390000,409000,0,0,1,0,0,onbekend,1,1,22.600580536478933,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",52.387801,4.883611,58A,,Houtmankade,West,Spaarndammer- en Zeeheldenbuurt,1013MZ,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1019 ET Amsterdam,Hildo Kropplein 4,52.37330000,4.93910000,250000,68,176,1,1981,0,appartement,15,3,5.763955155170856,"C.J.K. van Aalststraat 44, 1019 JZ Amsterdam, Netherlands",52.3732484,4.9391081,44,,C.J.K. van Aalststraat,,Eastern Docklands,1019JZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1069 LW Amsterdam,Noorderakerweg 26,52.35560000,4.79070000,595000,159,538,2,1990,1,woonhuis,25,8,25.493785079984995,"Langswater 384, 1069 EC Amsterdam, Netherlands",52.355533,4.790341,384,,Langswater,Nieuw-West,De Punt,1069EC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1069 LK Amsterdam,Baden Powellweg 52 -D,52.35560000,4.79070000,265000,98,325,1,2007,0,appartement,34,3,25.493785079984995,"Langswater 384, 1069 EC Amsterdam, Netherlands",52.355533,4.790341,384,,Langswater,Nieuw-West,De Punt,1069EC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1093 CZ Amsterdam,Wagenaarstraat 396,52.36180000,4.92800000,400000,85,275,1,1977,1,appartement,26,4,0,"Dappermarkt, Tweede van Swindenstraat, 1093 GS Amsterdam, Netherlands",52.363045150000005,4.92724532349044,,Dappermarkt,Tweede van Swindenstraat,,Oost,1093GS,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1056 PZ Amsterdam,Mercatorstraat 57 huis,52.37320000,4.85600000,265000,51,160,1,1906,1,appartement,12,2,25.674998739078635,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",52.37323,4.856375,228-2,,Admiralengracht,West,De Krommert,1056TK,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1017 PX Amsterdam,Korte Leidsedwarsstraat 101 B,52.36300000,4.89240000,450000,102,300,1,1906,0,appartement,22,2,0.6133852941470841,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",52.3629963,4.8923933,245L,,Kerkstraat,Centrum,Centrum,1017GW,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1106 DJ Amsterdam,Voorthuizenstraat 61,52.29910000,4.97540000,189500,102,290,3,1989,0,appartement,22,5,2.9495910662578444,"Pannerdenstraat, 1106 BG Amsterdam, Netherlands",52.2991825,4.9753742,,Pannerdenstraat,Pannerdenstraat,,Zuidoost,1106BG,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1081 CH Amsterdam,Gunterstein 25,52.32780000,4.86200000,39500,0,0,1,0,0,parkeergelegenheid,4,1,45.897876912526065,"Van Der Boechorststraat 40, 1081 BV Amsterdam, Netherlands",52.327514,4.861513,40,,Van Der Boechorststraat,Zuid,Buitenveldert-West,1081BV,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1076 JC Amsterdam,Van Tuyll van Serooskerkenweg 45 -I,52.34550000,4.86070000,375000,66,185,1,1906,0,appartement,23,3,10.92988934570428,"Stadionweg 227-1, 1076 NT Amsterdam, Netherlands",52.3454054,4.8607437,227-1,,Stadionweg,Zuid,Zuid,1076NT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1102 GC Amsterdam,Haag en Veld 52,52.31660000,4.95170000,150000,74,251,1,1970,1,appartement,16,2,49.79663637578256,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",52.316997,4.952039,3,,Raoul Wallenberghofje,Zuidoost,Bijlmer Centrum,1102AH,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1068 JR Amsterdam,S. F. van Ossstraat 302,52.35920000,4.80520000,209000,79,251,1,1964,0,appartement,17,4,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,677,,Osdorpplein,Nieuw-West,Nieuw-West,1068TC,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1103 JW Amsterdam,Bijlmerdreef 1204,52.32310000,4.97220000,190000,0,0,1,0,0,onbekend,1,1,12.548452217043597,"Harriet Freezerstraat 113, 1103 JP Amsterdam, Netherlands",52.323119,4.972382,113,,Harriet Freezerstraat,Zuidoost,Bijlmer Oost,1103JP,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1093 JD Amsterdam,Wijttenbachstraat 50 E,52.36180000,4.92800000,650000,116,300,2,1885,0,appartement,30,5,0,"Dappermarkt, Tweede van Swindenstraat, 1093 GS Amsterdam, Netherlands",52.363045150000005,4.92724532349044,,Dappermarkt,Tweede van Swindenstraat,,Oost,1093GS,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1035 PC Amsterdam,Zuideinde 321,52.41960000,4.89440000,350000,105,345,3,1930,1,woonhuis,27,4,5.227310669140413,"Jacob Honigstraat 5, 1035 XV Amsterdam, Netherlands",52.419555,4.8944223,5,,Jacob Honigstraat,Noord,Oostzanerwerf,1035XV,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1077 ZT Amsterdam,Courbetstraat 18 II,52.34600000,4.87380000,795000,170,573,4,1939,0,appartement,25,6,8.308924963734398,"Rubensstraat 70, 1077 NA Amsterdam, Netherlands",52.3459835,4.8736807,70,,Rubensstraat,Zuid,Zuid,1077NA,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1103 JL Amsterdam,Annie Romeinplein 16,52.32310000,4.97220000,225000,108,312,1,2001,0,appartement,34,5,12.548452217043597,"Harriet Freezerstraat 113, 1103 JP Amsterdam, Netherlands",52.323119,4.972382,113,,Harriet Freezerstraat,Zuidoost,Bijlmer Oost,1103JP,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1082 ME Amsterdam,Gustav Mahlerlaan 230,52.33110000,4.87420000,775000,106,365,1,2008,0,appartement,39,3,14.773310690004186,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",52.3309672,4.8742065,197,,Doddendaal,Zuid,Buitenveldert,1082XT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1052 GA Amsterdam,Fagelstraat 79 III/IV,52.37700000,4.87400000,535000,107,280,2,1906,0,appartement,38,4,2.189558787067854,"Frederik Hendrikstraat 48-1, 1052 HW Amsterdam, Netherlands",52.3770196,4.8739969,48-1,,Frederik Hendrikstraat,West,West,1052HW,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1034 BS Amsterdam,Botterstraat 6,52.40750000,4.91700000,185000,79,213,4,1967,0,appartement,17,3,22.620688767871073,"Bezaanjachtplein 243, 1034 CR Amsterdam, Netherlands",52.4077,4.916939,243,,Bezaanjachtplein,Noord,Banne Buiksloot,1034CR,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1019 HD Amsterdam,Veembroederhof 121,52.37330000,4.93910000,625000,146,400,1,2005,0,appartement,25,4,5.763955155170856,"C.J.K. van Aalststraat 44, 1019 JZ Amsterdam, Netherlands",52.3732484,4.9391081,44,,C.J.K. van Aalststraat,,Eastern Docklands,1019JZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1108 AA Amsterdam,Provincialeweg 3,52.30820000,4.98070000,298000,130,340,2,1917,1,woonhuis,13,4,60.948473119679264,"Openbare Daltonschool Nellestein, Leksmondplein 31, 1108 EL Amsterdam, Netherlands",52.308666,4.980228,31,Openbare Daltonschool Nellestein,Leksmondplein,Zuidoost,Nellestein,1108EL,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1032 BR Amsterdam,Nigellestraat 72,52.39640000,4.91260000,272500,90,345,2,1930,0,appartement,36,4,13.57212487812395,"Heggerankweg 89-1, 1032 JC Amsterdam, Netherlands",52.396469,4.912765,89-1,,Heggerankweg,Noord,Volewijck,1032JC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1024 PS Amsterdam,Schoorlstraat 102,52.39390000,4.95470000,174900,0,0,1,0,0,onbekend,1,1,5.346782837843484,"Zandvoortstraat 70, 1024 WE Amsterdam, Netherlands",52.3938521,4.9546931,70,,Zandvoortstraat,Noord,Waterlandpleinbuurt,1024WE,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1086 ZC Amsterdam,Pieter Holmstraat 20,52.36280000,4.98190000,599000,156,500,2,2001,1,woonhuis,27,4,0.535708752118495,"IJburglaan 257, 1086 ZJ Amsterdam, Netherlands",52.3627971,4.9819063,257,,IJburglaan,Oost,Steigereiland-Noord,1086ZJ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1071 DN Amsterdam,Johannes Vermeerstraat 77 huis,52.35520000,4.87890000,1350000,168,531,2,1906,1,appartement,23,4,19.593762206140674,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",52.3550303,4.8789777,26-H,,Wouwermanstraat,Zuid,Zuid,1071LZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1074 EG Amsterdam,Kuipersstraat 53 HS,52.35390000,4.90420000,249000,37,148,1,1985,1,appartement,35,2,2.0789574675973093,"Kuipersstraat 63-H, 1074 EG Amsterdam, Netherlands",52.353913,4.904222,63-H,,Kuipersstraat,Zuid,Nieuwe Pijp,1074EG,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1055 RZ Amsterdam,Nieuwpoortstraat 94 B14,52.38020000,4.85240000,237500,49,173,1,2017,1,appartement,20,2,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,Landlust,1055KL,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1073 TK Amsterdam,Van Ostadestraat 163 III/IV,52.35320000,4.89820000,850000,135,360,2,1906,0,appartement,16,5,2.2512175683180513,"Van Ostadestraat 209K, 1073 TN Amsterdam, Netherlands",52.3532055,4.8981681,209K,,Van Ostadestraat,Zuid,Zuid,1073TN,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1072 XD Amsterdam,Daniël Stalpertstraat 101 3V,52.35350000,4.89020000,215000,33,100,1,1876,0,appartement,15,2,4.566243169923167,"Eerste Jan van der Heijdenstraat 109-HV, 1072 TN Amsterdam, Netherlands",52.3534607,4.8901805,109-HV,,Eerste Jan van der Heijdenstraat,,Zuid,1072TN,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1028 BP Amsterdam,Dorpsweg Ransdorp 44 B,52.40140000,5.00730000,650000,135,385,2,1995,1,woonhuis,33,4,500.8931529344327,"Bloemendalergouw 49B, 1028 BH Amsterdam, Netherlands",52.396972,5.008656,49B,,Bloemendalergouw,Noord,Waterland,1028BH,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1076 BE Amsterdam,Johannes Worpstraat 29,52.34550000,4.86070000,75000,0,0,1,0,0,parkeergelegenheid,3,1,10.92988934570428,"Stadionweg 227-1, 1076 NT Amsterdam, Netherlands",52.3454054,4.8607437,227-1,,Stadionweg,Zuid,Zuid,1076NT,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1071 GK Amsterdam,Van Eeghenstraat 80,52.35520000,4.87890000,18750000,896,2920,5,1899,1,woonhuis,61,25,19.593762206140674,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",52.3550303,4.8789777,26-H,,Wouwermanstraat,Zuid,Zuid,1071LZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1059 EB Amsterdam,Sloterkade 165,52.34880000,4.84680000,650000,0,0,1,0,0,onbekend,1,1,7.424910888743452,"Sassenheimstraat 80-1, 1059 BM Amsterdam, Netherlands",52.3488658,4.8468186,80-1,,Sassenheimstraat,Zuid,Hoofddorppleinbuurt,1059BM,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1056 LV Amsterdam,Geuzenkade 103 C,52.37320000,4.85600000,725000,160,478,1,2004,0,appartement,1,5,25.674998739078635,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",52.37323,4.856375,228-2,,Admiralengracht,West,De Krommert,1056TK,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1068 SM Amsterdam,Veldzicht 77,52.35920000,4.80520000,175000,70,185,1,2000,0,appartement,6,3,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,677,,Osdorpplein,Nieuw-West,Nieuw-West,1068TC,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1051 AP Amsterdam,De Wittenkade 170 III,52.38180000,4.87170000,350000,75,198,2,1905,0,appartement,29,3,4.222585482550074,"Van Beuningenstraat 194E, 1051 XZ Amsterdam, Netherlands",52.381764,4.8716802,194E,,Van Beuningenstraat,West,West,1051XZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1019 LG Amsterdam,KNSM-laan,52.37330000,4.93910000,32500,0,0,1,0,0,parkeergelegenheid,3,1,5.763955155170856,"C.J.K. van Aalststraat 44, 1019 JZ Amsterdam, Netherlands",52.3732484,4.9391081,44,,C.J.K. van Aalststraat,,Eastern Docklands,1019JZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1087 LE Amsterdam,Ben van Meerendonkstraat 46,52.35390000,5.00050000,295000,82,287,1,2007,0,appartement,30,3,14.547622573122053,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",52.353989,5.000657,987,,Maria Austriastraat,Oost,IJburg West,1087JB,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1058 EK Amsterdam,Nachtwachtlaan 300,52.35790000,4.85100000,399000,100,243,1,1974,0,appartement,30,4,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,,Surinameplein,Surinameplein,,,1058,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1095 VB Amsterdam,Niasstraat 30 A,52.36660000,4.95200000,285000,71,235,1,1990,1,appartement,20,3,6.439024133897987,"Zeeburgerdijk 585, 1095 AE Amsterdam, Netherlands",52.36658,4.952089,585,,Zeeburgerdijk,Oost,Indische Buurt Oost,1095AE,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1017 TE Amsterdam,Fokke Simonszstraat 43 HS,52.36300000,4.89240000,250000,42,100,1,1906,0,appartement,19,3,0.6133852941470841,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",52.3629963,4.8923933,245L,,Kerkstraat,Centrum,Centrum,1017GW,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1055 RZ Amsterdam,Nieuwpoortstraat 86 A3,52.38020000,4.85240000,315000,62,216,1,2017,1,appartement,20,2,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,Landlust,1055KL,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1011 TX Amsterdam,Rapenburg 8 I,52.37100000,4.90410000,275000,41,138,1,1906,0,appartement,33,2,0.9358233445245736,"Keizersbrug, 1011 KV Amsterdam, Netherlands",52.3710995,4.9040025,,Keizersbrug,Keizersbrug,,Centrum,1011KV,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1102 AC Amsterdam,Bijlmerdreef 514,52.31660000,4.95170000,230000,90,244,1,2008,0,appartement,1,3,49.79663637578256,"Raoul Wallenberghofje 3, 1102 AH Amsterdam, Netherlands",52.316997,4.952039,3,,Raoul Wallenberghofje,Zuidoost,Bijlmer Centrum,1102AH,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1066 NP Amsterdam,Turnhoutplantsoen 19,52.34600000,4.81630000,285000,90,282,2,1991,1,woonhuis,25,4,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,,Antwerpenbaan,Laan van Vlaanderen,Nieuw-West,Sloterpolder,1066JL,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1107 LM Amsterdam,Streefkerkstraat 27,52.29320000,4.98030000,165000,74,223,4,1983,0,appartement,14,4,5.755793401264633,"Sliedrechtstraat, 1107 JR Amsterdam, Netherlands",52.2932466,4.9805132,,Sliedrechtstraat,Sliedrechtstraat,,Gein,1107JR,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1056 KP Amsterdam,Geuzenkade 81 III,52.37320000,4.85600000,250000,55,200,4,1931,0,appartement,28,3,25.674998739078635,"Admiralengracht 228-2, 1056 TK Amsterdam, Netherlands",52.37323,4.856375,228-2,,Admiralengracht,West,De Krommert,1056TK,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1055 VK Amsterdam,Anna van Burenstraat 9 hs,52.38020000,4.85240000,245000,51,130,1,1937,0,appartement,28,3,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,8-3,,Hertspieghelweg,West,Landlust,1055KL,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1087 EN Amsterdam,IJburglaan 851,52.35390000,5.00050000,315000,94,292,1,2009,0,appartement,19,4,14.547622573122053,"Maria Austriastraat 987, 1087 JB Amsterdam, Netherlands",52.353989,5.000657,987,,Maria Austriastraat,Oost,IJburg West,1087JB,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1057 XD Amsterdam,Witte de Withstraat 1 X,52.36770000,4.85510000,300000,67,229,4,2008,0,appartement,19,2,0.972402630340097,"Maranatha, Cabotstraat 33, 1057 VP Amsterdam, Netherlands",52.36786965,4.855041608946916,33,Maranatha,Cabotstraat,West,West,1057VP,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1063 GT Amsterdam,Lou Jansenplein 15,52.38140000,4.82590000,32250,0,0,1,0,0,parkeergelegenheid,4,1,2.5954411684806953,"Van Gilsestraat 13-H, 1063 VS Amsterdam, Netherlands",52.3814121,4.8259327,13-H,,Van Gilsestraat,Nieuw-West,Slotermeer,1063VS,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
